Sex,Height
Male,168.71743531020002
Male,165.28062821380001
Male,175.658734534
Male,172.22549222600003
Male,173.32641329060002
Male,184.2740840292
Male,188.10332419899999
Male,186.0214420788
Male,185.0077195952
Male,173.405342546
Male,177.98242059019998
Male,182.2162847158
Male,174.43185763800003
Male,178.2626340506
Male,170.044400068
Male,171.89701089160002
Male,172.4750759026
Male,170.6865575594
Male,170.17456937839998
Male,167.71545959
Male,172.248286186
Male,181.4770348354
Male,178.00148120740002
Male,187.2528976296
Male,168.6255368656
Male,173.2180629612
Male,173.4194137142
Male,167.4867044468
Male,169.8545698152
Male,168.142942733
Male,186.1896459588
Male,175.98399166860003
Male,182.2951946164
Male,161.64428593099998
Male,183.29032422379998
Male,182.8883323176
Male,173.1412254974
Male,175.475637872
Male,170.6586643208
Male,161.5821477012
Male,182.17035348940001
Male,179.0068196336
Male,185.0836720976
Male,173.13362330280003
Male,176.98504023799998
Male,160.0201206246
Male,182.2656376016
Male,181.93938278040002
Male,180.50282766520002
Male,178.0924668014
Male,178.940140849
Male,174.0953272214
Male,181.1881587812
Male,170.6395841202
Male,185.69011447120002
Male,180.0542159894
Male,182.6519740908
Male,186.8660164374
Male,177.2960010842
Male,179.39478926660001
Male,168.43902491960003
Male,178.4841737142
Male,180.2859045786
Male,178.6002685798
Male,181.6447993462
Male,180.33630737340002
Male,169.4060854188
Male,184.55385890780002
Male,168.9355086358
Male,169.10871593480002
Male,169.4806876318
Male,176.0106880592
Male,173.5403750674
Male,167.126800747
Male,178.1143540322
Male,175.4227850694
Male,180.1056511926
Male,169.55548971739998
Male,174.2169721902
Male,180.2734209358
Male,160.4736371674
Male,177.5541558892
Male,172.0436510352
Male,180.5761089004
Male,178.109362221
Male,167.1015814426
Male,181.6283957214
Male,182.1573648438
Male,181.4942047274
Male,176.23951513519998
Male,178.18421287139998
Male,183.15714529279998
Male,181.9155260082
Male,175.7860329586
Male,180.6082924276
Male,170.3534922108
Male,193.03989090700003
Male,172.68538894399998
Male,176.22861878920003
Male,181.4168239576
Male,178.9973490658
Male,182.5240161044
Male,184.6990617162
Male,185.2202725356
Male,182.27483816740002
Male,189.6597599228
Male,171.0022343728
Male,179.2097100584
Male,165.55957886240003
Male,177.1167741122
Male,182.248613277
Male,175.18485201720003
Male,165.2047016702
Male,177.85285569820002
Male,180.42846621880003
Male,185.09370839960002
Male,182.6773634736
Male,187.8780156326
Male,166.7878754914
Male,179.9791472292
Male,173.1177366188
Male,170.63190813859998
Male,179.9766534318
Male,162.079875357
Male,170.05196144479999
Male,178.51295844199998
Male,178.62167285499999
Male,179.2378021536
Male,176.0071856278
Male,188.948633278
Male,169.90647931260003
Male,186.99872168380003
Male,175.4900305026
Male,171.5567378612
Male,159.82175018060002
Male,174.87938671499998
Male,176.813928439
Male,176.5697726916
Male,175.5315691038
Male,169.7298185788
Male,180.6248459632
Male,172.114751401
Male,169.06428112400002
Male,170.4403996316
Male,176.7385625496
Male,183.5922170922
Male,175.78747191940002
Male,175.327245357
Male,166.20505102840002
Male,173.9025517624
Male,182.7860585572
Male,187.34925758420002
Male,179.1525830708
Male,175.2938709508
Male,186.9744428398
Male,173.9673232356
Male,162.792697147
Male,172.6492859682
Male,179.919766017
Male,181.9848527174
Male,170.9712062916
Male,173.33722467360002
Male,166.3121508396
Male,179.6060165556
Male,170.6273330144
Male,172.082985399
Male,173.87545572820002
Male,183.64278206600002
Male,166.1233013062
Male,166.7321637156
Male,176.38374979719998
Male,172.71595952040002
Male,182.09962477640002
Male,186.9516367894
Male,170.88408172619998
Male,183.1972714762
Male,174.28416253080002
Male,165.67682648160002
Male,168.47189401820003
Male,177.9963803286
Male,169.26120371719998
Male,185.3495489598
Male,189.8872311976
Male,167.2540751432
Male,169.16725963279998
Male,173.3244036426
Male,176.8893205158
Male,165.741297041
Male,169.11827621540002
Male,173.371877284
Male,175.27877057459997
Male,177.9643087138
Male,180.55540175360002
Male,180.6047893104
Male,174.0942471626
Male,175.31210314700002
Male,169.8950611236
Male,174.97137154499998
Male,173.66194086439998
Male,168.1724279166
Male,164.3041952924
Male,172.6999690266
Male,164.4322061616
Male,178.00431754919998
Male,168.8262852068
Male,183.3221590344
Male,164.0516304686
Male,188.97907215540002
Male,181.07366342979998
Male,166.0634848396
Male,172.8886002216
Male,164.33620797920003
Male,176.7708586242
Male,183.9615471638
Male,169.4939867924
Male,174.42506999600002
Male,176.6856932116
Male,184.8405620682
Male,176.4680450312
Male,176.32657734359998
Male,167.1473996898
Male,182.06808336120002
Male,168.5334234862
Male,168.82878271259997
Male,179.0103235382
Male,172.9832112592
Male,167.21240215059998
Male,175.7560580884
Male,185.11797329900003
Male,172.15670369199998
Male,177.866164333
Male,181.2309877532
Male,181.5228839944
Male,175.7985082702
Male,172.80821704480002
Male,182.797403518
Male,181.1980646542
Male,183.8815815884
Male,153.3228113624
Male,178.97971948460003
Male,182.15273345859998
Male,179.17830816539998
Male,185.7298960274
Male,157.6421430336
Male,175.46466626580002
Male,181.6372536666
Male,179.2850961408
Male,165.17882508999998
Male,172.5149693712
Male,174.98281521020002
Male,179.5985107032
Male,164.0263725816
Male,180.25360372880002
Male,174.740272185
Male,166.14973295259998
Male,165.62459364219998
Male,177.62908388259999
Male,169.9290778196
Male,170.8299711156
Male,174.005496413
Male,172.10369610179998
Male,168.63003794879998
Male,178.33120848800002
Male,174.5023103292
Male,179.76129790619999
Male,190.3858650746
Male,168.549668107
Male,167.8348073066
Male,169.7706865692
Male,183.3010219164
Male,173.3711442146
Male,176.3921155412
Male,178.9042657112
Male,183.87226933879998
Male,175.8367858924
Male,170.4455315746
Male,178.673756444
Male,183.8586644638
Male,179.2798302382
Male,171.20411951640003
Male,186.534481642
Male,170.69298576600002
Male,188.0358668028
Male,175.01291692800004
Male,162.242428245
Male,172.9075767648
Male,172.15400720259998
Male,176.5768278972
Male,173.73820314519998
Male,174.9646399354
Male,177.21032790019999
Male,166.9192749492
Male,168.21779747280002
Male,159.4435253338
Male,170.5083877354
Male,177.5357315674
Male,171.92632782560003
Male,176.7962620278
Male,177.04373407539998
Male,171.2854783072
Male,173.08341926300002
Male,179.0459242798
Male,180.2995405178
Male,180.957013371
Male,173.95374033160002
Male,175.98507475
Male,164.08665564619997
Male,174.500905252
Male,173.46332246560002
Male,166.9125654122
Male,172.33328261239998
Male,171.21534199840002
Male,167.8878431162
Male,171.73503811420002
Male,168.26509146
Male,172.028183375
Male,175.37229517800003
Male,199.2936144168
Male,179.365258363
Male,178.82726871
Male,172.3942887642
Male,179.9613370794
Male,172.474484489
Male,189.7993131362
Male,173.6936002626
Male,192.4137522558
Male,180.4074203884
Male,179.7117233292
Male,193.7872276902
Male,176.78724601840003
Male,176.699400982
Male,176.7337288788
Male,167.20257804020002
Male,172.20238449980002
Male,173.7108761996
Male,164.9029545724
Male,173.84918722600003
Male,184.591943871
Male,167.77706764560003
Male,155.7294280122
Male,173.41743505419998
Male,191.16853188620001
Male,168.83442412879998
Male,168.9742470394
Male,172.0858378952
Male,182.310402079
Male,175.2534978794
Male,173.49707131859998
Male,187.8698131598
Male,174.63005592080003
Male,186.87614156319998
Male,169.99916980540002
Male,176.15354050399998
Male,170.22441525280001
Male,183.03390461979998
Male,172.4094878448
Male,162.415921167
Male,167.94514117280002
Male,187.49072440819998
Male,164.47822476399998
Male,170.21738262780002
Male,180.03172807399997
Male,171.2294057244
Male,170.0140122446
Male,164.2877875528
Male,170.9974154594
Male,173.4845963372
Male,187.4596823316
Male,168.28827162700003
Male,171.9722321788
Male,167.2696802174
Male,182.38955246679998
Male,165.97173630580002
Male,172.6401562176
Male,190.8947416286
Male,161.05872766599998
Male,165.3592122578
Male,172.02646930679998
Male,183.66901188399996
Male,176.3858681318
Male,164.787078985
Male,170.1168861054
Male,169.9484469198
Male,173.0440454022
Male,178.785329373
Male,179.08505554520002
Male,177.21470170400002
Male,173.75593442800002
Male,170.9268053644
Male,173.2935898358
Male,171.53519256520002
Male,188.99246267979998
Male,175.2560552022
Male,173.5896068714
Male,175.26549981120002
Male,164.67786249020003
Male,185.5807650836
Male,181.86830911
Male,178.4407219596
Male,180.3799565876
Male,176.19618453860002
Male,162.87926931319998
Male,179.15782883120002
Male,161.03361031720002
Male,181.380680037
Male,177.4879542944
Male,169.86342214700002
Male,180.9753456432
Male,186.8778886006
Male,173.146555408
Male,186.88071089620001
Male,177.53432555039998
Male,164.7937219232
Male,182.9639334364
Male,171.21061800479998
Male,171.77861633540002
Male,176.65795600520002
Male,168.412255758
Male,174.49154989860003
Male,179.2072786942
Male,168.50385400000002
